assessment_id,pronunciation_avg,vocab_avg,fluency_avg,cohesion_avg,grammar_avg,cefr_avg,suffix,transcript,filler_word_count,formants_mean,formants_median,formants_std,formants_min,formants_max,mfccs_mean,mfccs_std,mfccs_var,spectral_centroid_mean,spectral_bandwidth_mean,pitch,intensity,speech_rate,intensity_to_speech_rate_ratio,pauses_duration,pauses_frequency,brunets_index,average_sentence_length,cohesion_score,flesch_kincaid_score,coleman_liau_index,automated_readability_index,repetitions
1647885061811312-1,3.33,4.33,3.67,4.0,3.67,4.0,0,"Yeah, I would be happy to go to the past and meet my ancestors in order to ask them about things that I have in the, in the current time. Um, I think there are several benefits of going to the past a lot other than going to the future. And one of them in is the ability to, to see things that we miss in our parents and, or grand fathers and people we, that we just sell in the family and bonds and see them. It's a great pleasure that we can in this occasion ask them questions that we always want to ask them. Yeah.",1,1575.0082588601992,1280.3717025309886,1077.0197467420703,0.0,5767.395810418814,-19.980368,31.9179,17586446.0,1930.4468069737459,1554.1185492141935,1593.8506,0.039929543,0.10577355285768839,0.3775002504098372,0.0475,0.3869653767820774,1.7715350382047212,24.0,0.6144508123397827,7.93,3.0566666666666613,11.916944444444447,0
1647885061811312-2,3.33,4.33,3.67,4.0,3.67,4.0,1,"I prefer to be most remembered for my great wisdom, not my great candace. There are several reasons for this. First, I would like to contribute to to the knowledge and to enable to help people to overcome some problems and I need I need wisdom, not a kindness in order to accomplish that. Um Second, I think people will appreciate more people that contributed to the, in to the humanity in general, um to all human being um rather than just be kind because being kind is restricted to one period of life and contributing to knowledge is something that you can like have effect. Kevin has effects for the several generations.",10,1485.3283758404882,1233.3642488027472,1026.0216231208653,0.0,5537.60589666358,-20.769653,36.38053,30827758.0,1863.084691451444,1513.257088938995,1588.4949,0.04197018,0.1013758671906138,0.4140056173921699,0.059125,0.3770426464726983,1.7715350382047212,24.8,0.5617537498474121,10.830387096774196,7.285161290322581,15.87920353982301,1
1647885061811312-3,3.33,4.33,3.67,4.0,3.67,4.0,2,"I prefer to be the first person to explore a planet rather than being the inventor of a drug that cures the disease. Um I can think about two main reasons for doing that. The first reason is that I read a lot of science fiction novels in in in my childhood, I would be happy the first man to step in one place. In furthermore. I think there are a lot of things that we can discover in pure new planet. It's great um adventure that I would not miss in any case. Um The other thing is I'm not uh physics, so I will not invent a drug that can cure deadly disease. So I will let it. I leave it to other people that are more professional than me in this aspect.",9,1577.452084636966,1300.7760958566141,1015.4320209746876,0.0,5983.743043867562,-18.382305,30.395288,14430838.0,1951.3182447791885,1565.8471096207797,1607.9229,0.0504563,0.11534407509971971,0.437441631347117,0.0505625,0.3488572660629582,1.7622790545754494,16.444444444444443,0.5532678961753845,5.254414414414416,3.138918918918918,8.95711111111111,1
1647885061811312-4,3.33,4.33,3.67,4.0,3.67,4.0,3,I think there should be restrictions for publishing um information in the social media. Um The first reason of that is um we can control fake news that can damage not just communities and individuals but also companies and um families and a lot larger groups of people. And should I put should find a solution for this and provide people just a flight information that is trusted and they will get benefit of reading this information. Um I think it's a matter. Um We should not provide any information that that should that could offend people because people are the users of social um social media platform and we should provide them the best service that we can offer.,13,1694.9512719298298,1442.8669426239333,1013.8530153059774,0.0,7535.163800823522,-20.942108,32.268475,19053800.0,1966.1727546421757,1599.8796328140486,1638.024,0.036215387,0.10717502600039619,0.3379088266759257,0.057375,0.36370839936608557,1.7622790545754494,25.2,0.5487969517707825,10.90784126984127,8.738730158730153,16.8675,1
1647885061811312-5,3.33,4.33,3.67,4.0,3.67,4.0,4,"Yeah, I prefer to be remembered for my great wisdom and there are several, several reasons for this first. People will remember smart people that have changed the world, people that contributed to the knowledge in in general. And if if you are like kind with people, it's good. It's a positive feature to have, but it will affect just few people. And when you have a great wisdom you can have a larger effect. You might affect family and communities and maybe in countries and I prefer to um, and have a large effect in the world.",3,1694.526294823732,1396.98444542681,1132.5845167726775,0.0,6526.601736399041,-21.5206,34.11654,22989976.0,1877.3806761609596,1518.8069682585856,1618.2324,0.041594017,0.09764252722598366,0.4259825967097758,0.0508125,0.41543178334184977,1.7622790545754494,18.666666666666668,0.5993380546569824,7.177500000000002,5.346785714285712,12.209115646258503,2
1655476060404937-1,4.33,4.0,4.33,4.0,4.0,4.0,0,"Um no, I don't want to be on a reality show. And the main reason why is because I really want to I really take care of my privacy and I don't want the people all around me, especially outside of my neighborhood or my city or at work. I don't want them to know about me any more than what I want to give or to show I prefer to leave it like that and to make my friend and my way on my way.",3,1231.807131980138,998.5449500205864,862.431407016138,0.0,5723.787145108157,-20.090313,33.876,23565418.0,1534.0754025343447,1340.46914062067,1541.721,0.07076272,0.08719189203577513,0.8115745860323427,0.02575,0.35093696763202725,1.7429931071630576,31.333333333333332,0.6426792144775391,10.689574468085109,2.208936170212766,14.1531007751938,0
1655476060404937-2,4.33,4.0,4.33,4.0,4.0,4.0,1,"um my favorite social media platform that I prefer is a facebook and I prefer because there is a lot of things that you can see from comedy shows that you can laugh and relax at the end of the day and also you can look for work, that's how I found this job. Um there's a lot of opportunities to see outside of your own eyes, to open your mind to see other things that might be that you might be curious about and that's why I prefer that platform. And also I can I can put and use this platform and and also keep my privacy, I can choose whatever I want to show, I can choose whatever I want to to see and that's why I prefer that.",6,1396.3447068348908,1109.972030446789,905.0794730550657,0.0,6032.933457774818,-20.941254,32.35336,19849124.0,1782.2658920448614,1451.9783338136544,1618.5126,0.06444763,0.11403374709880637,0.5651627532302151,0.040125,0.3405835543766578,1.7622790545754494,47.333333333333336,0.5976698994636536,17.57845070422535,4.320281690140845,23.090432569974553,2
1655476060404937-3,4.33,4.0,4.33,4.0,4.0,4.0,2,"I prefer to work every day in a few hours because I like to get up in the morning, getting dressed, come to the office, talk to people. I prefer to see how I can do more at work every day and only on shabbat and on friday to have a relaxing day that I can do whatever I want to.",1,1470.6418699208243,1270.674577227905,944.7081605018209,0.0,5104.301706864119,-21.816162,32.61167,21054722.0,1773.8956784255604,1466.5017841157248,1649.1538,0.062639214,0.10553784640330188,0.5935237095807725,0.0255,0.3849056603773585,1.722562629490293,33.0,0.617522120475769,12.29818181818182,2.724848484848483,15.28524590163935,0
1655476060404937-4,4.33,4.0,4.33,4.0,4.0,4.0,3,"I prefer to invert to invert or a drug because the most of the things that I believe in my life is saving savings people life. And if I can help with that, it will be the most happiest thing I can ever give to the world and to myself that I achieve something and I can also do something in my life.",3,1376.7166324067532,1050.3062664619254,966.6142610621563,0.0,6542.974928960285,-19.505165,32.26807,20150524.0,1780.3576503489041,1490.3434199635126,1582.3302,0.06439946,0.1098467817779831,0.5862662285192967,0.0218125,0.368532206969377,1.7118692955940733,33.0,0.58878093957901,11.940606060606061,4.328484848484845,16.599047619047617,0
1655476060404937-5,4.33,4.0,4.33,4.0,4.0,4.0,4,"wow, that's a very hard question because I like the way I live now. I'm not saying that I'm perfect, but I prefer to live my life as it is simple and with no superpower, I really like my the way I'm living and I hope that it will be better without a superpower.",2,1354.9719199246865,1061.6380644572805,912.163657352327,0.0,6095.76818909497,-19.944265,33.56482,24762668.0,1624.5733769543563,1432.863080012493,1542.4653,0.0711523,0.09833811622008325,0.7235475152210785,0.019,0.31633714880332986,1.7329302194658671,31.5,0.6274210214614868,11.304523809523811,2.67365079365079,14.835,0
1659856072110825-1,5.5,5.0,5.0,4.5,5.0,5.0,0,And well being is important at the workplace because health and well being provide a safe environment and a productive environment for those who are at work with you. You wouldn't want your co workers to not be involved in healthy habits because you want to be influenced by good people who are going to be around you. When I was when I was beginning a job one time somebody started smoking around me and that was something which was very hard for me. My employer brings in a dog to the office and I happen to be allergic. These are unhealthy habits for me and therefore I would rather that workplace habits be healthy and safe for all.,2,1352.2038855888409,1172.7129684209033,681.9634040596749,0.0,4582.768103484824,-18.405369,29.350693,14576940.0,1759.0267505733225,1494.171849990656,1294.4839,0.06675808,0.11393245377863546,0.5859443828591214,0.0146875,0.2340637450199203,1.7715350382047212,25.0,0.5766872763633728,10.396799999999999,7.382719999999999,15.642773109243699,0
1659856072110825-2,5.5,5.0,5.0,4.5,5.0,5.0,1,I went on vacation that one time to new Zealand it was great and I went scuba diving and skydiving. It was great.,0,1254.5645039807189,1179.569218685645,638.6441522788871,0.0,6666.821386706079,-13.895765,30.89834,17066292.0,1740.9457231615459,1419.7517680198766,1257.4297,0.09474969,0.1272860440340909,0.7443839567894507,0.00225,0.20454545454545456,1.689409199984129,12.5,0.5354746580123901,4.388999999999999,3.235199999999999,7.460434782608694,0
1659856072110825-3,5.5,5.0,5.0,4.5,5.0,5.0,2,Next weekend I'm going to go and visit my siblings in Raanana and it's gonna be great.,0,1233.4508082410234,1118.173031777367,715.4046633099591,0.0,5326.666767649092,-19.693333,36.536545,34784184.0,1562.5890220804426,1312.0501706123246,1360.3174,0.060827944,0.10930129716981132,0.5565162171243576,0.00325,0.3270440251572327,1.689409199984129,21.0,0.4235008656978607,7.209523809523812,2.3904761904761926,10.897058823529413,0
1659856072110825-4,5.5,5.0,5.0,4.5,5.0,5.0,3,"There are five questions that are, yes, indeed, five questions each calibrated again to like what the exam has been able to detect. Up until now that this person will be able to succeed with what advice I give a new worker in my job. The coffee machine needs to always be stocked, otherwise I'm gonna be unhappy.",2,1495.3069737404053,1404.0817412765377,690.6594779998557,0.0,3707.5414104233114,-17.59248,28.864676,13571339.0,1889.6898315525636,1541.379698064961,1431.6382,0.054245804,0.13093425010195758,0.41429804243688295,0.011375,0.2969004893964111,1.7715350382047212,22.333333333333332,0.5257378816604614,8.61850746268657,5.253731343283583,13.573218390804598,0
1659856072110825-5,5.5,5.0,5.0,4.5,5.0,5.0,4,"Great kindness, kindness, it is more important to have other people love you and be cared for by you. Other people are what make us who we are and therefore whatever.",0,1196.7678522910771,916.8106639674086,715.6060060035766,434.84569498916414,6098.557607167047,-18.46958,28.040115,12009345.0,1515.0543349900547,1337.8976799071945,1206.919,0.065061234,0.09967062282229965,0.6527623897137317,0.0048125,0.2682926829268293,1.7118692955940733,17.5,0.6023232340812683,6.743571428571428,5.356571428571428,11.541290322580643,0
1661070908438977-1,3.0,3.0,3.33,2.67,2.67,3.0,0,And I think that's interesting about my area of work is that I can help you to get the job that the job that they dream and good for them.,0,1651.4332283633767,1857.3725358608515,607.0022681841673,456.3353934908578,3993.581403057277,-16.927769,25.677933,8997978.0,2208.785815591163,2053.86165633941,1006.8385,0.054943215,0.11541748046875,0.47603894036513417,0.023625,0.49736842105263157,1.722562629490293,32.0,0.6576332449913025,10.533750000000001,3.3037499999999973,15.235999999999997,0
1661070908438977-2,3.0,3.0,3.33,2.67,2.67,3.0,1,My my answer was a redder to be average person in the present.,1,1448.8353664171682,1299.138778502931,616.5111660566704,516.3631260080379,3094.168509006614,-12.587182,27.075016,10834599.0,2050.160152012992,1876.3810934477428,1082.0052,0.09166091,0.11653645833333333,0.7865427752446862,0.0083125,0.40672782874617736,1.6393434480684455,14.0,0.49740082025527954,6.727142857142859,3.0857142857142854,7.533076923076923,1
1661070908438977-3,3.0,3.0,3.33,2.67,2.67,3.0,2,"I will choose to be happy for two years because I believe when you're happy, you can do anything you want. You can be better person to your family, to your friend, to everybody who is near you. So this is will be my answer for sure.",2,1461.8473494006748,1371.6817665338788,674.0653809443719,355.97444105133394,3461.051728067904,-12.376987,23.585142,6201967.0,2133.4419058984777,1998.499531195582,1095.3427,0.09128716,0.11965851736540842,0.7628972883798448,0.019375,0.38366336633663367,1.7329302194658671,18.0,0.6632165312767029,6.507777777777779,2.8088888888888874,9.65269503546099,0
1661070908438977-4,3.0,3.0,3.33,2.67,2.67,3.0,3,"And I prefer, um, I think 10 rely friends because I believe physical connection and not medical, social, medical media connection. I believe that this is better connection and this is better for the human being to be a connection, physical connection rather than social media connection.",4,1556.0385327540707,1510.0381747259225,662.819155543855,469.9273895704432,3365.8467988355337,-12.720068,24.94474,7924228.5,2111.7460089507726,1975.9853070348,1150.5424,0.082961105,0.11648487390610218,0.7122049587065903,0.028375,0.4295175023651845,1.7329302194658671,27.0,0.5699647068977356,13.951111111111114,9.345925925925926,19.081063829787233,0
1661070908438977-5,3.0,3.0,3.33,2.67,2.67,3.0,4,No because these people are negative and there is no reason to bring them mm the option to be popular because I believe raised and advice is Ben.,1,1555.0690935364355,1854.3074780267048,630.1186662948763,391.0687134481527,3184.1539648121043,-15.306192,23.257011,6397713.0,2042.0450015515387,2030.8836582426293,882.04974,0.056385003,0.08683349609375,0.6493462265923732,0.0273125,0.54625,1.6775871580592954,29.0,0.5820433497428894,11.995862068965518,7.104827586206891,16.96107142857143,0
1662420268098487-1,3.0,4.0,3.0,3.0,3.0,3.0,0,"the person who is the most important people. No person in my country is um Lopez Obrador because he's the president of my country, Mexico. And he has been made some solutions for every single necessities or problems in my country. And the he has a lot of um person's interest persons in because um the c the curriculum of these persons are political and professional um quality has qualities for they have have qualities for a lot of functions and solve problems. And it's the best thing that um he is uh made because uh some people in this um team is um salute, is has the solution to have the solution to all problems and maybe is a polemical polemical person because he has a history in my country. But people knows that the problems in Mexico are really really very um um has a lot of uh years and there he has the opportunity to change my country and do a lot of uh politics uh to make the changes",27,1361.0110608249977,1058.6306864834612,934.2084275553058,0.0,5790.482069931002,-21.601088,29.685001,12798881.0,1711.1703421989348,1496.5255485932764,1528.8113,0.047212373,0.09385031982857507,0.503060336411604,0.086875,0.35432067295437164,1.7979235760094388,30.5,0.5129367113113403,13.134508196721313,6.685245901639345,20.42734104046243,4
1662420268098487-2,3.0,4.0,3.0,3.0,3.0,3.0,1,"my best teacher was maybe, I don't know. My my. Mm hmm. My first teacher in primary, She has a lot of patients and creativity. And she has um, so many a kid kidnapped for uh, tools and uh, for learning. And she has um, freedom in his, in his class. In in her her class. And she has a lot of um knowledge about the science on different things. And maybe other of my teacher was Arnaldo Corba. The personality of human personality class. And he has a discipline and he has a lot of knowledge too. Like my other teacher. And he was um, the root root. Yes. Because he has um, a lot of um. Uh huh. Maybe discipline or I don't know. He worries about our knowledge. He worries about our learning. And he has a different kind of practice and social drama practice. And the class was really, really fun and really, really tense in some of cases because he was with with a whole group and they had a lot of, I don't know. Um I don't know.",19,1333.940583668451,1010.6735636732616,944.2302136275872,0.0,5856.929660247317,-19.1508,33.243717,19584564.0,1751.4024465378254,1455.5496038080917,1629.9768,0.07074873,0.10712698090841029,0.6604193536867945,0.0911875,0.364112802595458,1.814484591177755,10.090909090909092,0.5325967669487,3.1751842751842787,0.999099099099098,6.506600790513836,5
1662420268098487-3,3.0,4.0,3.0,3.0,3.0,3.0,2,,0,1649.638597301815,1821.5217343624063,639.7017672268839,248.536962221646,2812.504119314326,-16.09829,11.106372,277213.53,1875.7501626990997,1859.8656132085555,1481.6567,0.05872693,0.06855305080307263,0.8566639768793164,0.00775,0.6927374301675978,1.1211660780285089,1.0,0.0,-3.3999999999999986,-27.759999999999998,1.0,0
1662420268098487-4,3.0,4.0,3.0,3.0,3.0,3.0,3,"Well, I think um different um work office is not usual in the future. And uh maybe um we can define our birds, birds in different things because the the manipulation of the the genetic is a very, very dangerous, but it's a benefit for the people. And maybe we can do understand that. The the the I think maybe I I we need to make the human nature our really I'm really worried about that because we don't know the future has pollution, has contamination, has a lot of things. But I don't know if only in the nature or maybe it's more in the mind of the people. And I maybe, I think in the future we if if we don't change now in the future, maybe we don't have nothing, we don't have anything of the people um disappear to the earth. But I I think we can change and we can go to other planets or we can go to other contexts. Or we can approval different political laws that care people and pollution uh reduce the pollution and reduce the the I don't know, the mental health benefits are will be more interesting.",7,1242.0620165056894,900.7987402998907,893.5371257142535,0.0,6623.973674050611,-20.031063,30.495716,14342354.0,1636.3171400527017,1474.3080912456403,1651.6469,0.062366314,0.08709431694619876,0.7160778845177151,0.0899375,0.3429456625357483,1.7805525680911245,28.125,0.5990967154502869,10.797416666666667,4.446222222222222,15.01833333333333,7
1662420268098487-5,3.0,4.0,3.0,3.0,3.0,3.0,4,"is is um, difficult question because, um, I think the war has a lot of, um, hunger hungry or, or I don't know, maybe, or where is uh, we have the necessity to to take decisions, not political decision, but the human decisions that make the change. And uh, I don't know if we can or cool or or will finish the the war, but the I don't know.",6,1265.3734086354318,974.7265314583777,998.0383429709747,0.0,6766.068860900731,-20.156136,35.97469,26347518.0,1615.6042880548691,1388.709579902702,1638.3654,0.06956648,0.08991879772909968,0.7736589297489839,0.0409375,0.4212218649517685,1.7429931071630576,43.5,0.5893986821174622,15.88764367816092,1.8354022988505747,18.960434782608694,4
1667330281849843-1,5.5,5.0,4.5,5.0,5.0,5.0,0,"I would much rather be a first version me than a second version. Someone else? Why is this? Because I feel that throughout the years, the accomplishments I've made, the studies, my academic degrees, my studies in Israel and abroad, my skills, professional experiences and maybe possibly personal challenges have definitely be something that has made me who I am today. I am proud of what I feel I have accomplished and and honored and thank God for who I am today.",3,1520.4719638266836,1164.5473105508727,1008.180451219786,0.0,5633.826299092305,-20.304039,32.535442,21915680.0,2137.42206307096,1673.5489954715079,1684.9072,0.07332057,0.12180070173346055,0.6019716353385945,0.0244375,0.33163698049194235,1.7805525680911245,18.8,0.5631361603736877,8.939872340425534,6.583404255319149,13.421707317073164,1
