assessment_id,pronunciation_avg,vocab_avg,fluency_avg,cohesion_avg,grammar_avg,cefr_avg,suffix,transcript,filler_word_count,formants_mean,formants_median,formants_std,formants_min,formants_max,mfccs_mean,mfccs_std,mfccs_var,spectral_centroid_mean,spectral_bandwidth_mean,pitch,intensity,speech_rate,intensity_to_speech_rate_ratio,pauses_duration,pauses_frequency,brunets_index,average_sentence_length,cohesion_score,flesch_kincaid_score,coleman_liau_index,automated_readability_index,repetitions
1647885061811312-1,3.33,4.33,3.67,4.0,3.67,4.0,0,"I would be happy to go to the past and meet my ancestors in order to ask them about things that I have in the current time. I think there are several benefits of going to the past rather than going to the future. One of them is the ability to see things that we miss, our parents, our grandfathers, and people that we just saw in the family albums. And to see them, it's a great pleasure that we can, in this occasion, ask them questions that we always want to ask them. Yeah, that's the reasons.",2,1575.0082588601992,1280.3717025309886,1077.0197467420703,0.0,5767.395810418814,-19.980368,31.9179,17586446.0,1930.4468069737459,1554.1185492141935,1593.8506,0.039929543,0.10577355285768839,0.3775002504098372,0.0475,0.3869653767820774,1.7715350382047212,22.4,0.6251153349876404,7.79064285714286,3.8260714285714243,12.208367346938779,0
1647885061811312-2,3.33,4.33,3.67,4.0,3.67,4.0,1,"I prefer to be most remembered for my great wisdom, not my great kindness. There are several reasons for this. First, I would like to contribute to the knowledge and to enable to help people to overcome some problems and I need wisdom, not kindness, in order to accomplish that. Second, I think people will appreciate more people that contributed to the humanity in general, to all human beings, rather than just being kind. Because being kind is restricted to one period of life and contributing to knowledge is something that can have effects for several generations.",6,1485.3283758404882,1233.3642488027472,1026.0216231208653,0.0,5537.60589666358,-20.769653,36.38053,30827758.0,1863.084691451444,1513.257088938995,1588.4949,0.04197018,0.1013758671906138,0.4140056173921699,0.059125,0.3770426464726983,1.7622790545754494,21.8,0.5807843208312988,10.124844036697251,8.35816513761468,15.898762886597936,0
1647885061811312-3,3.33,4.33,3.67,4.0,3.67,4.0,2,"I prefer to be the first person to explore a planet rather than being the inventor of a drug that cures the disease. I can think about two main reasons for doing that. The first reason is that I read a lot of science fiction novels in my childhood. I would be happy to be the first man to step on one planet. Furthermore, I think there are a lot of things that we can discover on a new planet. It's a great adventure that I would not miss in any case. Another thing is that I'm not in physics so I will not invent a drug that can cure a deadly disease. I leave it to other people that are more proficient than me in this aspect.",4,1577.452084636966,1300.7760958566141,1015.4320209746876,0.0,5983.743043867562,-18.382305,30.395288,14430838.0,1951.3182447791885,1565.8471096207797,1607.9229,0.0504563,0.11534407509971971,0.437441631347117,0.0505625,0.3488572660629582,1.7622790545754494,17.375,0.5695907473564148,5.872580935251801,3.6897841726618665,9.678437500000001,0
1647885061811312-4,3.33,4.33,3.67,4.0,3.67,4.0,3,"I think there should be restrictions for publishing information in social media. The first reason of that is we can control fake news that can damage not just communities and individuals, but also companies and families and a lot larger groups of people. And we should find a solution for this and provide people just the right information that is trusted and they will get benefit of reading this information. I think it's a matter, we should not provide any information that could offend people because people are the users of social media, a platform, and we should provide them the best service that we can offer.",5,1694.9512719298298,1442.8669426239333,1013.8530153059774,0.0,7535.163800823522,-20.942108,32.268475,19053800.0,1966.1727546421757,1599.8796328140486,1638.024,0.036215387,0.10717502600039619,0.3379088266759257,0.057375,0.36370839936608557,1.7527703054973112,29.0,0.6037315726280212,12.707931034482758,9.081724137931033,19.104532710280374,0
1647885061811312-5,3.33,4.33,3.67,4.0,3.67,4.0,4,"Yeah, I prefer to be remembered for my great wisdom and there are several reasons for this. First, people will remember smart people that have changed the world, people that contributed to the knowledge in general, and if you are kind with people, it's good, it's a positive feature to have, but it will affect just a few people. And when you have great wisdom, you can have a larger effect. It might affect families and communities and maybe countries, and I prefer to have a larger effect in the world.",1,1694.526294823732,1396.98444542681,1132.5845167726775,0.0,6526.601736399041,-21.5206,34.11654,22989976.0,1877.3806761609596,1518.8069682585856,1618.2324,0.041594017,0.09764252722598366,0.4259825967097758,0.0508125,0.41543178334184977,1.7622790545754494,26.5,0.6041086912155151,10.32990566037736,6.048301886792448,16.03115384615385,0
1655476060404937-1,4.33,4.0,4.33,4.0,4.0,4.0,0,"No, I don't want to be on a reality show. The main reason why is because I really want to, I really take care of my privacy. I don't want the people all around me, especially outside of my neighborhood or my city or at work, I don't want them to know about me anymore. And what I want to give or to show, I prefer to leave it like that and to make my friend on my way.",2,1231.807131980138,998.5449500205864,862.431407016138,0.0,5723.787145108157,-20.090313,33.876,23565418.0,1534.0754025343447,1340.46914062067,1541.721,0.07076272,0.08719189203577513,0.8115745860323427,0.02575,0.35093696763202725,1.7527703054973112,22.75,0.6487758755683899,7.675906593406598,1.637362637362635,10.38525316455696,0
1655476060404937-2,4.33,4.0,4.33,4.0,4.0,4.0,1,"My favorite social media platform that I prefer is Facebook. I prefer it because there is a lot of things that you can see from comedy shows that you can laugh and relax at the end of the day and also you can look for work. That's how I found this job. There's a lot of opportunities to see outside of your own eyes, to open your mind, to see other things that you might be curious about. That's why I prefer that platform. Also I can put and use this platform and also keep my privacy. I can choose whatever I want to show, I can choose whatever I want to see and that's why I prefer that.",4,1396.3447068348908,1109.972030446789,905.0794730550657,0.0,6032.933457774818,-20.941254,32.35336,19849124.0,1782.2658920448614,1451.9783338136544,1618.5126,0.06444763,0.11403374709880637,0.5651627532302151,0.040125,0.3405835543766578,1.7805525680911245,19.0,0.6091265082359314,6.725263157894737,3.5094736842105263,10.422100840336135,0
1655476060404937-3,4.33,4.0,4.33,4.0,4.0,4.0,2,"I prefer to work every day in a few hours because I like to get up in the morning, get in dress, come to the office, talk to people. I prefer to see how I can do more at work every day and only on Shabbat and on Friday to have a relaxing day that I can do whatever I want to.",1,1470.6418699208243,1270.674577227905,944.7081605018209,0.0,5104.301706864119,-21.816162,32.61167,21054722.0,1773.8956784255604,1466.5017841157248,1649.1538,0.062639214,0.10553784640330188,0.5935237095807725,0.0255,0.3849056603773585,1.7429931071630576,33.5,0.6222141981124878,12.092910447761195,2.0973134328358185,14.961129032258064,0
1655476060404937-4,4.33,4.0,4.33,4.0,4.0,4.0,3,"I prefer to invert or a drug because the most of the things that I believe in my life is saving people's life. And if I can help with that, it will be the most happiest thing I can ever give to the world and to myself that I achieved something and I can also do something in my life.",3,1376.7166324067532,1050.3062664619254,966.6142610621563,0.0,6542.974928960285,-19.505165,32.26807,20150524.0,1780.3576503489041,1490.3434199635126,1582.3302,0.06439946,0.1098467817779831,0.5862662285192967,0.0218125,0.368532206969377,1.722562629490293,32.0,0.6118909120559692,11.455625000000001,3.854999999999997,15.785499999999999,0
1655476060404937-5,4.33,4.0,4.33,4.0,4.0,4.0,4,"Wow, that's a very hard question Because I like the way I live now I'm not saying that I'm Perfect, but I prefer to live my life as it is simple and with no superpower and I Really likes my the way I'm living and I hope that it will be better without a superpower",2,1354.9719199246865,1061.6380644572805,912.163657352327,0.0,6095.76818909497,-19.944265,33.56482,24762668.0,1624.5733769543563,1432.863080012493,1542.4653,0.0711523,0.09833811622008325,0.7235475152210785,0.019,0.31633714880332986,1.7622790545754494,61.0,0.6159486770629883,23.095081967213115,3.860983606557376,1.0,0
